=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_3_digits.csv
Test Dimension (k): 143 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.122374
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 614.181524
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 1.69 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 877             | Original Mean y_bar:     7.05 | Fitted Prob p_tilde: 0.084608 | Sample Size n: 20
Prime: 881             | Original Mean y_bar:    10.45 | Fitted Prob p_tilde: 0.084608 | Sample Size n: 20
Prime: 883             | Original Mean y_bar:    10.00 | Fitted Prob p_tilde: 0.084608 | Sample Size n: 20
Prime: 887             | Original Mean y_bar:     3.45 | Fitted Prob p_tilde: 0.084608 | Sample Size n: 20
Prime: 907             | Original Mean y_bar:     6.30 | Fitted Prob p_tilde: 0.084608 | Sample Size n: 20
Prime: 911             | Original Mean y_bar:    10.70 | Fitted Prob p_tilde: 0.084608 | Sample Size n: 20
Prime: 919             | Original Mean y_bar:     8.40 | Fitted Prob p_tilde: 0.084608 | Sample Size n: 20
Prime: 929             | Original Mean y_bar:     9.80 | Fitted Prob p_tilde: 0.084608 | Sample Size n: 20
Prime: 937             | Original Mean y_bar:     9.15 | Fitted Prob p_tilde: 0.084608 | Sample Size n: 20
Prime: 941             | Original Mean y_bar:    12.45 | Fitted Prob p_tilde: 0.084608 | Sample Size n: 20
Prime: 947             | Original Mean y_bar:     6.95 | Fitted Prob p_tilde: 0.084608 | Sample Size n: 20
Prime: 953             | Original Mean y_bar:    15.55 | Fitted Prob p_tilde: 0.084608 | Sample Size n: 20
Prime: 967             | Original Mean y_bar:     8.20 | Fitted Prob p_tilde: 0.084608 | Sample Size n: 20
Prime: 971             | Original Mean y_bar:     9.85 | Fitted Prob p_tilde: 0.084608 | Sample Size n: 20
Prime: 977             | Original Mean y_bar:     9.60 | Fitted Prob p_tilde: 0.084608 | Sample Size n: 20
Prime: 983             | Original Mean y_bar:    12.50 | Fitted Prob p_tilde: 0.084608 | Sample Size n: 20
Prime: 991             | Original Mean y_bar:     8.15 | Fitted Prob p_tilde: 0.084608 | Sample Size n: 20
Prime: 997             | Original Mean y_bar:     7.65 | Fitted Prob p_tilde: 0.084608 | Sample Size n: 20
