=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_7_digits.csv
Test Dimension (k): 5012 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.001881
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 15262.362535
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 16.68 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 1252267         | Original Mean y_bar:   184.30 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1252819         | Original Mean y_bar:   207.10 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1253479         | Original Mean y_bar:   163.25 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1253701         | Original Mean y_bar:   276.90 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1254131         | Original Mean y_bar:   205.30 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1254793         | Original Mean y_bar:   329.00 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1255063         | Original Mean y_bar:   191.90 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1257071         | Original Mean y_bar:   371.45 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1261763         | Original Mean y_bar:   232.70 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1262713         | Original Mean y_bar:   199.15 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1268357         | Original Mean y_bar:   291.05 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1270433         | Original Mean y_bar:   268.45 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1272283         | Original Mean y_bar:   246.80 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1273099         | Original Mean y_bar:   629.00 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1275893         | Original Mean y_bar:   212.60 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1276169         | Original Mean y_bar:   429.80 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1277993         | Original Mean y_bar:   111.95 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1278899         | Original Mean y_bar:   230.00 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1279921         | Original Mean y_bar:   260.70 | Fitted Prob p_tilde: 0.003190 | Sample Size n: 20
Prime: 1280159         | Original Mean y_bar:   507.25 | Fitted Prob p_tilde: 0.003182 | Sample Size n: 20
