=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_9_digits.csv
Test Dimension (k): 4018 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000219
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 11126.392223
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 14.09 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 117826483       | Original Mean y_bar:  1203.25 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 117843547       | Original Mean y_bar:  5484.25 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 118212229       | Original Mean y_bar:  1473.40 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 118372537       | Original Mean y_bar:  2247.35 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 118680269       | Original Mean y_bar:  1375.50 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 118685431       | Original Mean y_bar:  1487.30 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 118705187       | Original Mean y_bar:  2010.50 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 118711921       | Original Mean y_bar:  3345.10 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 118895123       | Original Mean y_bar:  2476.45 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 119350027       | Original Mean y_bar:  1681.55 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 119720479       | Original Mean y_bar:  1670.05 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 119911559       | Original Mean y_bar:  2029.65 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 120151831       | Original Mean y_bar:  2823.40 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 120181189       | Original Mean y_bar:  2147.35 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 120196357       | Original Mean y_bar:  1463.65 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 120291463       | Original Mean y_bar:  2742.05 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 120475613       | Original Mean y_bar:  2116.95 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 120835597       | Original Mean y_bar:  3422.25 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 121034801       | Original Mean y_bar:  3424.25 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 121570021       | Original Mean y_bar:  1783.20 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 121618907       | Original Mean y_bar:  1732.45 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 121721843       | Original Mean y_bar:  2190.30 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 122232983       | Original Mean y_bar:  2095.40 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 122570207       | Original Mean y_bar:   914.70 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 122640593       | Original Mean y_bar:  3317.70 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 122648159       | Original Mean y_bar:  1313.25 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 122743321       | Original Mean y_bar:  2236.10 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 122761069       | Original Mean y_bar:  1772.85 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 122934557       | Original Mean y_bar:  1524.75 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 123634619       | Original Mean y_bar:  3034.15 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 123766633       | Original Mean y_bar:  3725.55 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
