=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_6_digits.csv
Test Dimension (k): 8060 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.006153
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 25152.250511
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 25.98 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 120167          | Original Mean y_bar:    57.25 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 120193          | Original Mean y_bar:    84.55 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 120209          | Original Mean y_bar:    98.80 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 120401          | Original Mean y_bar:    85.35 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 120641          | Original Mean y_bar:    92.70 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 120737          | Original Mean y_bar:   123.10 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 120779          | Original Mean y_bar:   145.75 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 121001          | Original Mean y_bar:    86.65 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 121013          | Original Mean y_bar:   104.45 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 121189          | Original Mean y_bar:    81.35 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 121327          | Original Mean y_bar:    57.65 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 121357          | Original Mean y_bar:    65.75 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 121439          | Original Mean y_bar:    75.50 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 121553          | Original Mean y_bar:    91.40 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 121637          | Original Mean y_bar:   106.20 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 121661          | Original Mean y_bar:   156.10 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 121697          | Original Mean y_bar:    80.20 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 121789          | Original Mean y_bar:    81.25 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
Prime: 122021          | Original Mean y_bar:   110.65 | Fitted Prob p_tilde: 0.012929 | Sample Size n: 20
