=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_10_digits.csv
Test Dimension (k): 3484 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000061
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 5269.921079
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 11.96 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 1351304161      | Original Mean y_bar:  6175.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1351929307      | Original Mean y_bar:  9544.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1357041727      | Original Mean y_bar:  6766.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1363818913      | Original Mean y_bar:  9610.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1364352593      | Original Mean y_bar:  9113.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1365022517      | Original Mean y_bar: 11719.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1366333789      | Original Mean y_bar:  3856.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1368002149      | Original Mean y_bar: 14197.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1368393703      | Original Mean y_bar:  2506.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1368490597      | Original Mean y_bar:  7828.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1368490861      | Original Mean y_bar:  5508.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1369938473      | Original Mean y_bar:  3146.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1370751043      | Original Mean y_bar:  6946.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1371982933      | Original Mean y_bar: 23868.00 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1374450251      | Original Mean y_bar:  6239.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1374566147      | Original Mean y_bar:  8935.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1376064757      | Original Mean y_bar:  9153.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1376709617      | Original Mean y_bar:  8388.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1381255751      | Original Mean y_bar: 11389.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1381539437      | Original Mean y_bar:  4933.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1382846477      | Original Mean y_bar: 10047.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1383730801      | Original Mean y_bar:  9945.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1384493599      | Original Mean y_bar:  8433.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1385256913      | Original Mean y_bar: 19602.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1385775487      | Original Mean y_bar:  5485.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1387990103      | Original Mean y_bar: 13356.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1388775097      | Original Mean y_bar:  9398.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1390117831      | Original Mean y_bar:  4756.80 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1395388637      | Original Mean y_bar:  9037.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1399573187      | Original Mean y_bar:  8081.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1400408467      | Original Mean y_bar:  3143.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1403170421      | Original Mean y_bar: 12168.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1404263813      | Original Mean y_bar:  3325.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1404396397      | Original Mean y_bar:  8117.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1407116983      | Original Mean y_bar:  4560.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1412099981      | Original Mean y_bar:  8286.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
Prime: 1415499973      | Original Mean y_bar: 24470.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 5
