prime,A,x0,trials
2609,111,808,25
618991,500182,614770,718
702347,459010,596364,142
571,382,181,51
147163,63287,113592,72
223831,38533,14687,374
977,451,263,20
875929,578858,551496,66
59729,38452,5683,44
67153,49341,56635,12
311687,51424,136557,26
23053,3466,18628,62
181,116,120,1
673,124,504,23
9067,6383,1504,11
311,271,44,18
229,186,205,11
81931,43364,81709,719
3049,2379,1876,40
349,209,325,39
772169,388107,287722,741
376133,47986,370361,740
162703,124722,159373,229
10369,4451,3064,24
13187,6271,8592,35
137,97,11,2
307,268,296,4
41221,40914,31378,72
389,350,196,27
223,208,154,5
2543,2053,1667,4
547,489,319,24
251,48,3,5
777097,623856,132834,141
619,478,279,11
419,161,19,8
857,277,177,68
31319,7877,5093,226
9137,2342,7851,56
43441,10307,11661,218
3499,2612,501,75
8167,3185,2725,53
4817,9,1257,133
463,240,333,7
677,161,28,116
911,128,29,21
373,288,28,10
460709,361651,255267,763
2963,2319,570,46
3457,1716,607,45
73291,71268,28861,10
337,181,200,24
2293,636,327,4
2371,381,2065,9
172199,69555,28451,343
75389,4067,15216,278
409,127,258,2
3011,205,1198,19
613,307,484,13
491,435,411,23
5581,2408,3639,6
719,427,577,10
98041,71335,96628,229
962197,673583,691873,144
9103,5659,2716,25
887,665,208,38
20681,11504,4317,275
2897,174,2678,77
641,199,511,21
46573,42693,23038,843
52951,857,4396,73
389,350,196,27
419,161,19,8
911,128,29,21
61561,56105,8643,254
37369,11463,19554,145
99661,59864,47220,2
7559,1639,1846,4
65099,56677,18742,49
967,210,781,6
42953,23248,3177,50
91423,52444,17739,65
461,142,370,37
821,499,343,1
3323,2916,80,42
797,775,196,27
211,157,146,24
7477,1709,4021,29
223,208,154,5
426073,401447,59445,536
859,421,644,70
25741,3553,16544,205
881,130,704,298
4049,2922,740,17
995737,794296,961852,2636
529649,444779,466535,1281
347,118,132,28
599,307,187,74
7951,5821,5750,17
52807,43547,4622,58
6997,4282,3683,194
46831,44210,21990,3
420439,221714,159615,335
741563,321103,676876,590
148691,23442,125269,481
44959,18009,42968,324
83557,17762,6145,222
191,FAILED,FAILED,FAILED
709853,104669,236632,564
643,21,461,3
829,533,559,390
1327,832,1190,32
2203,898,1100,37
181,116,120,1
433,343,391,6
9431,1179,1933,19
3691,3385,2838,68
231599,141944,159628,773
6779,3103,2710,116
4639,4560,4374,20
5737,5704,571,48
6481,3334,1150,10
14653,8740,6589,542
2543,2053,1667,4
617,243,344,48
20879,20257,20127,136
587,437,82,32
307,268,296,4
127,FAILED,FAILED,FAILED
846647,710671,831482,99
957221,190000,405105,987
853,365,255,69
64301,50927,54032,76
33223,4157,31645,16
433,343,391,6
521,378,71,3
965227,950111,813018,456
263,30,44,18
743,331,707,3
62659,38013,59802,85
4951,1508,3316,17
2003,518,1845,39
7559,1639,1846,4
821,499,343,1
830743,268513,529212,226
987659,974311,697929,497
8887,1498,5086,28
1997,322,1227,28
769,746,565,22
443,99,387,5
280139,43120,189241,1353
9547,4670,5527,44
598421,24224,81626,477
2347,129,1112,11
4549,2597,1524,2
35797,14886,12167,4
899917,720013,200779,93
8209,7358,1623,23
433747,108188,127331,26
8419,1536,3086,81
2957,463,1865,43
619,478,279,11
881,130,704,298
8179,3105,6879,64
370261,88427,29753,645
3389,735,2547,3
80923,71551,56237,150
83177,24579,30112,98
8951,2317,1263,32
15887,11708,3810,3
2591,2168,2061,38
449,74,346,11
24631,12807,4997,76
616597,478239,174007,1781
359,70,120,7
58043,31112,4144,38
461,142,370,37
3191,684,61,120
541,438,105,10
736787,550339,263334,397
75937,28068,45976,235
16007,15847,13638,84
271,162,94,3
821833,442825,572764,562
383753,347252,317105,1243
13127,3026,7208,332
6113,705,4438,59
392467,260090,173388,36
678719,575344,264368,250
432227,304536,320404,290
99623,96632,87871,157
11393,11248,9813,101
503,205,462,1
14423,5210,10004,52
420341,11608,326070,1166
326741,77740,321470,612
457,143,382,34
727,313,628,58
911,128,29,21
5857,5646,3869,10
797,775,196,27
751,225,270,26
844289,254916,34860,209
4111,3856,1856,3
467,237,68,24
312121,65081,235185,915
617,243,344,48
36467,13245,1937,283
58937,4965,12551,131
862399,769310,846101,674
977,451,263,20
14503,7172,1797,122
7247,4273,6867,31
1151,673,1030,104
877,697,482,7
60887,35537,50732,129
59671,23963,9046,88
8087,3541,2813,38
977,451,263,20
33329,27863,28108,15
447481,184357,31265,1052
9931,5234,5695,123
32089,26477,30266,526
46457,26549,2508,405
189473,171432,172819,683
100613,8247,89596,471
6043,4333,3429,173
683,623,291,41
28069,13887,27224,157
811,788,335,7
311,271,44,18
8287,1798,1281,95
919,254,593,44
159193,4311,149026,375
661,511,169,36
331,18,106,91
907,297,597,3
29387,26280,27685,38
182921,30330,121070,617
63533,40788,48382,118
658199,164096,491771,149
8423,7248,4083,52
81899,67569,73734,181
8933,779,695,99
9533,9211,6115,175
1117,600,747,8
283,144,9,9
53791,33493,43368,228
463,240,333,7
541,438,105,10
61471,20043,59078,124
84503,2653,54743,113
409,127,258,2
70309,56585,10108,489
353,36,196,20
829,533,559,390
631,259,222,1
95857,84763,73714,17
953,511,395,15
75721,15756,7098,677
86771,6833,14270,481
277,18,26,25
599,307,187,74
419,161,19,8
109,7,50,25
859,421,644,70
46141,390,23803,57
701,177,136,85
69379,34637,53529,296
49451,46101,17825,47
302411,291916,167213,410
619,478,279,11
641,199,511,21
7013,5674,3550,3
8821,8373,3757,12
3643,2951,2087,1
36899,21956,34745,14
199,56,197,3
72337,11269,52979,391
7901,6370,174,54
577,215,540,65
863,550,715,15
503,205,462,1
74831,1970,48933,63
5737,5704,571,48
827677,360050,127207,59
439,99,30,9
383,63,59,53
8093,1000,6950,18
479,203,120,3
125527,67210,123525,199
645581,223055,87191,112
283,144,9,9
829721,399697,331179,115
761,77,189,35
605893,305844,116810,133
349,209,325,39
269,120,39,2
907,297,597,3
463,240,333,7
461,142,370,37
181,116,120,1
4721,1497,3849,209
6947,6389,4685,39
736027,281160,18307,760
9511,3238,8439,44
760117,693668,126624,961
103,26,86,55
463093,372582,312569,95
929,838,41,30
271,162,94,3
41257,8318,39758,126
94531,47482,56848,417
433,343,391,6
9733,1970,5251,79
223,208,154,5
646577,175889,390880,349
451579,298336,322269,245
66821,61539,12232,155
554669,4978,388390,845
66889,48634,60863,7
911,128,29,21
32371,29306,19831,22
208699,175633,15369,89
571,382,181,51
15739,15024,1990,202
66643,43420,28688,95
2683,2526,1692,5
180701,179058,22328,167
659621,116735,641044,1770
87973,15785,35473,1238
813269,518805,260555,517
935393,194760,723171,98
601,315,71,14
87223,76578,41107,321
327661,20132,309923,600
1619,728,229,24
109,7,50,25
3413,1005,370,2
386047,33795,253617,141
127,FAILED,FAILED,FAILED
684683,347320,635645,433
2477,307,805,31
73277,7293,44085,51
1993,1264,882,1
179,111,40,1
461887,242823,376471,188
211,157,146,24
467,237,68,24
3329,324,2778,277
239,181,95,14
439,99,30,9
28573,12934,25130,6
3541,3264,3195,68
816743,714231,487550,589
39451,39410,34678,120
373,288,28,10
3559,1161,616,1
605069,198132,563503,185
157,3,23,13
320389,314516,10203,1313
8803,3962,8630,10
653,569,75,84
463,240,333,7
9227,8230,7714,79
761,77,189,35
2879,1947,1126,23
5051,4398,4320,2
993121,243352,939004,247
379,278,147,10
41201,4678,25724,311
557,23,125,56
28621,11384,18666,199
4933,18,791,183
7823,6857,3338,10
619,478,279,11
2437,1222,2197,209
311,271,44,18
45329,35301,25028,145
647,490,552,85
82571,75937,54505,17
59629,20241,6769,17
13487,2757,5295,232
712109,176704,195616,20
397,38,115,4
701,177,136,85
109,7,50,25
827,433,132,60
329333,170120,7534,390
5011,1355,3002,67
449,74,346,11
1789,1392,360,14
9257,5506,4796,8
263,30,44,18
9533,9211,6115,175
99079,65834,25467,135
9923,8594,3841,14
409993,32487,125371,427
7517,941,1140,22
919,254,593,44
107,19,67,6
12601,11389,7867,32
857,277,177,68
4657,3894,961,58
189253,146510,183040,198
281,128,37,14
823,812,580,38
199,56,197,3
19457,18284,18706,59
2857,2780,2544,138
2687,FAILED,FAILED,FAILED
1987,1327,1712,47
6367,5407,1022,1
453199,34741,93209,866
443437,405652,3934,258
233,90,171,28
40093,32889,9785,88
3347,2292,1998,26
29683,27536,139,59
6343,307,4299,34
4561,3924,2993,22
811,788,335,7
2273,26,2245,6
5903,1633,5007,8
227,74,202,32
484229,311393,452843,406
313,3,74,2
971,357,432,2
193,127,42,27
3371,718,2591,25
813817,38540,449561,212
440303,277299,69598,133
967,210,781,6
109,7,50,25
66179,7360,56501,91
479,203,120,3
1613,1301,134,8
224591,140011,16740,888
827,433,132,60
66809,3712,56817,52
3947,2173,1497,66
655541,398478,67951,223
3767,3177,2642,16
937,817,634,26
3709,1323,1550,320
1907,134,1283,26
887,665,208,38
12157,9269,3812,58
104953,582,62303,861
1453,765,1083,19
499,170,362,5
463,240,333,7
40903,4317,15186,3
829,533,559,390
907,297,597,3
599,307,187,74
620393,445435,260500,576
743,331,707,3
31091,16955,14742,71
911,128,29,21
613,307,484,13
176261,174982,111399,91
593,423,520,63
569,276,381,42
6337,5947,2640,40
773,689,234,4
6829,1775,570,61
359,70,120,7
3691,3385,2838,68
677,161,28,116
398771,263,311042,257
6637,1495,2211,42
55667,7288,38868,64
51869,39610,31365,657
757,742,404,25
3851,658,1152,148
811,788,335,7
631,259,222,1
7013,5674,3550,3
571,382,181,51
727,313,628,58
191,FAILED,FAILED,FAILED
10429,4876,6811,19
8369,4866,4941,98
1153,237,1143,27
409,127,258,2
40123,39329,2959,120
91703,37755,25127,330
713407,83812,709467,123
122041,68302,103981,335
6911,358,600,195
7159,4537,6299,1
2767,2685,1601,102
7951,5821,5750,17
4001,2266,906,57
68771,65823,53198,371
8629,4989,3871,179
44449,36517,19098,573
277,18,26,25
14713,9932,3056,19
139457,90858,91326,5
7417,1595,1761,13
991,485,625,7
7433,6340,1963,113
7547,6056,4840,71
72551,24897,45548,54
457,143,382,34
850351,613490,630458,114
571,382,181,51
991,485,625,7
78007,40323,76794,15
509,94,64,2
87539,19281,11737,47
5281,5142,5014,121
4409,1212,352,48
373,288,28,10
937,817,634,26
2543,2053,1667,4
491,435,411,23
257,36,90,1
198761,57210,167502,813
539321,452205,259894,176
2609,111,808,25
379,278,147,10
2677,1521,855,35
16127,13977,11579,29718
11069,500,10773,118
887,665,208,38
7333,1838,3365,238
419,161,19,8
8093,1000,6950,18
607,30,71,11
1439,1064,1366,21
263,30,44,18
946369,375827,344815,1522
5881,2848,707,148
8867,6436,5327,6
1879,734,518,11
521,378,71,3
2113,671,166,3
109,7,50,25
509,94,64,2
9067,6383,1504,11
673,124,504,23
43793,13957,25236,24
863,550,715,15
587,437,82,32
239,181,95,14
7393,3384,3741,207
22639,21810,18443,24
534371,372144,189503,556
85297,36376,77590,435
309437,142319,264587,1010
307,268,296,4
701,177,136,85
245261,177870,88689,324
131101,17989,78529,376
271,162,94,3
869887,596877,776015,303
157,3,23,13
349423,202158,150940,47
4751,4651,2184,58
61933,49766,15714,503
919,254,593,44
5939,634,3521,83
25849,17322,8973,398
7001,570,2383,44
7433,6340,1963,113
61231,57643,35130,462
39857,9863,8430,105
43391,16707,29089,17
62969,741,42972,394
3517,3295,1343,91
821,499,343,1
109,7,50,25
947647,343524,643928,98
948797,872451,314200,741
421559,259297,43799,796
682699,502206,225777,127
28867,12231,9033,214
4231,1991,362,224
96763,95004,89045,73
7219,3967,1066,3
65449,6273,5356,75
62683,61818,59603,605
173,29,29,4
7691,5085,2328,18
332467,180182,284981,180
857,277,177,68
863,550,715,15
715657,507335,50878,592
5261,3515,1146,4
857,277,177,68
457,143,382,34
2143,885,1543,29
3001,512,272,53
28927,6643,8480,111
9311,7234,3208,21
531331,276879,139700,355
