prime,A,x0,trials
3527,42,1698,14
3527,1315,563,6
3527,2772,473,1
3527,2600,2664,6
3527,775,3400,2
3527,17,261,9
3527,3464,924,23
3527,2600,619,14
3527,783,1334,28
3527,2256,3069,4
3527,2194,3472,2
3527,594,1043,8
3527,1456,806,32
3527,1471,1635,7
3527,625,1045,9
3527,332,2907,27
3527,94,570,4
3527,594,509,4
3527,783,962,18
3527,2092,72,2
3527,2042,208,25
3527,492,2001,29
3527,3051,2152,20
3527,3480,2815,9
3527,1100,511,19
3527,473,40,80
3527,3280,2562,18
3527,1471,2374,4
3527,2787,28,64
3527,3510,1201,24
3527,3396,3384,1
3527,740,3004,16
3527,2150,3093,13
3527,3094,1107,14
3527,1951,1970,15
3527,3234,3024,8
3527,26,2585,16
3527,2844,2093,4
3527,804,811,16
3527,625,90,9
3527,94,1714,5
3527,755,2986,4
3527,2860,3126,5
3527,2422,307,20
3527,865,1542,2
3527,3385,2456,34
3527,2862,95,3
3527,1212,84,3
3527,2360,2892,1
3527,3485,1786,35
3527,3367,3062,14
3527,3156,1817,4
3527,1263,2305,4
3527,611,2171,9
3527,2315,1433,9
3527,390,672,3
3527,632,1517,4
3527,1750,1203,11
3527,586,2966,5
3527,371,1954,10
3527,1098,2388,8
3527,594,2157,27
3527,2150,3083,9
3527,1900,1800,1
4003,2243,3509,17
4003,2726,1902,6
4003,1903,3706,46
4003,2150,2742,18
4003,3932,1288,64
4003,206,591,42
4003,1154,2843,1
4003,2248,2199,2
4003,3621,1463,35
4003,1252,3,8
4003,3607,414,8
4003,2884,1323,95
4003,535,340,29
4003,687,2009,3
4003,670,1369,27
4003,2175,2534,9
4003,3306,3469,13
4003,2571,2481,12
4003,1903,1906,18
4003,22,3698,39
4003,230,2825,4
4003,488,2830,3
4003,1263,3550,4
4003,1857,664,32
4003,2150,3025,4
4003,2698,648,2
4003,382,2517,24
4003,3677,365,51
4003,3843,3063,90
4003,2355,1998,10
4003,2307,1844,20
4003,3999,2278,87
4003,898,1740,1
4003,670,1043,11
4003,3049,2114,13
4003,2123,292,6
4003,1580,124,14
4003,3515,1036,95
4003,3465,3440,34
4003,3644,215,79
4003,832,3791,20
4003,3017,1610,10
4003,801,2104,7
4003,2149,1085,1
4003,1810,186,4
4003,2789,2309,13
4003,628,1005,9
4003,2849,3412,4
4003,2088,2213,16
4003,2986,216,13
4003,3993,791,22
4003,670,3276,6
4003,2699,1117,22
4003,2355,1054,42
4003,2055,1047,24
4003,2884,793,20
4003,1810,2474,7
4003,535,624,1
4003,1648,234,8
4003,3706,2459,4
4003,3915,273,1
4003,7,1189,3
4003,2668,923,23
4003,2986,858,8
4003,670,2058,33
4003,249,2379,13
4003,1948,1571,28
4003,1119,990,10
4003,3996,3137,2
4003,2097,578,3
4003,628,1884,22
4003,71,3100,30
4003,3635,728,30
4003,3460,1872,4
4003,2088,1370,16
4003,3375,1470,19
4003,3649,1487,7
4003,2740,1306,19
4003,3935,392,28
4003,3171,2487,30
4003,670,2841,27
4003,2097,1310,19
4003,3460,593,11
4003,3996,1505,33
4003,538,303,30
4003,670,1007,1
4003,2075,1840,32
4003,551,1381,4
4003,3523,3780,8
4003,3465,294,37
4003,1580,500,1
