=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_11_digits.csv
Test Dimension (k): 3103 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000019
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 8950.196898
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 10.89 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 14497059217     | Original Mean y_bar: 20292.25 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14551776517     | Original Mean y_bar: 19208.75 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14574332791     | Original Mean y_bar: 10192.35 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14590860217     | Original Mean y_bar: 17239.95 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14684485253     | Original Mean y_bar: 16538.70 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14702294023     | Original Mean y_bar: 12891.10 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14709452551     | Original Mean y_bar:  9698.25 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14712563081     | Original Mean y_bar: 20136.10 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14768996323     | Original Mean y_bar: 17962.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14782012549     | Original Mean y_bar: 18965.85 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14794626463     | Original Mean y_bar: 12744.65 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14849437417     | Original Mean y_bar: 23741.70 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14863718669     | Original Mean y_bar: 14644.95 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14887880717     | Original Mean y_bar: 19466.75 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14901036223     | Original Mean y_bar: 35804.20 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14997026483     | Original Mean y_bar: 15712.05 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 14998169293     | Original Mean y_bar: 31835.50 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15070881611     | Original Mean y_bar: 17645.30 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15085376701     | Original Mean y_bar: 12043.75 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15093916583     | Original Mean y_bar: 23370.25 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15115798391     | Original Mean y_bar: 18702.95 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15150362609     | Original Mean y_bar: 27716.05 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15174003329     | Original Mean y_bar: 19383.45 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15178196833     | Original Mean y_bar: 28418.65 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15179681893     | Original Mean y_bar: 14118.55 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15183192097     | Original Mean y_bar: 19033.55 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15187254811     | Original Mean y_bar: 19576.25 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15225010831     | Original Mean y_bar: 14248.40 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15236026499     | Original Mean y_bar: 17524.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15349969163     | Original Mean y_bar: 20123.00 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
Prime: 15354368207     | Original Mean y_bar: 12388.45 | Fitted Prob p_tilde: 0.000052 | Sample Size n: 20
