=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_8_digits.csv
Test Dimension (k): 4360 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000583
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 13761.300940
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 14.84 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 12489511        | Original Mean y_bar:   426.05 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12507541        | Original Mean y_bar:   638.35 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12524191        | Original Mean y_bar:   395.15 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12558683        | Original Mean y_bar:   476.35 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12578161        | Original Mean y_bar:   457.05 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12585731        | Original Mean y_bar:   334.00 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12607379        | Original Mean y_bar:   836.45 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12618601        | Original Mean y_bar:   592.20 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12633073        | Original Mean y_bar:   618.45 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12669361        | Original Mean y_bar:   540.50 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12680821        | Original Mean y_bar:   646.95 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12700739        | Original Mean y_bar:   505.15 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12712087        | Original Mean y_bar:   565.25 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12720347        | Original Mean y_bar:   498.00 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12738307        | Original Mean y_bar:   558.15 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12768809        | Original Mean y_bar:  1098.10 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12779369        | Original Mean y_bar:   573.65 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12804293        | Original Mean y_bar:   926.85 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12810023        | Original Mean y_bar:   456.65 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12839861        | Original Mean y_bar:   494.25 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12845033        | Original Mean y_bar:   608.25 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12858017        | Original Mean y_bar:   780.85 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12866831        | Original Mean y_bar:   443.35 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12872983        | Original Mean y_bar:   320.50 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12911527        | Original Mean y_bar:   854.70 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12968209        | Original Mean y_bar:   802.30 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12970819        | Original Mean y_bar:   315.00 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 12996301        | Original Mean y_bar:   350.30 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13022501        | Original Mean y_bar:   314.15 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13027309        | Original Mean y_bar:   516.35 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13033957        | Original Mean y_bar:  1228.80 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13058543        | Original Mean y_bar:   401.65 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13060559        | Original Mean y_bar:   538.85 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13075709        | Original Mean y_bar:   453.80 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13086179        | Original Mean y_bar:   687.20 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13105571        | Original Mean y_bar:   333.25 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13107847        | Original Mean y_bar:   874.25 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13109357        | Original Mean y_bar:   691.95 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13112111        | Original Mean y_bar:   926.70 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13127207        | Original Mean y_bar:   316.15 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13138261        | Original Mean y_bar:   514.25 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13151839        | Original Mean y_bar:   508.70 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13172689        | Original Mean y_bar:   704.75 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13218619        | Original Mean y_bar:   575.25 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13238909        | Original Mean y_bar:  1027.85 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13241533        | Original Mean y_bar:   429.90 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13259539        | Original Mean y_bar:   528.30 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13267229        | Original Mean y_bar:   686.75 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13268011        | Original Mean y_bar:   371.70 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13297547        | Original Mean y_bar:   374.50 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13326503        | Original Mean y_bar:   462.40 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13345009        | Original Mean y_bar:  1446.90 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13391179        | Original Mean y_bar:   302.40 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13400459        | Original Mean y_bar:   579.80 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13413311        | Original Mean y_bar:   314.30 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13416239        | Original Mean y_bar:   532.55 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13425283        | Original Mean y_bar:   511.20 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13454401        | Original Mean y_bar:   703.10 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13454989        | Original Mean y_bar:   806.15 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13484591        | Original Mean y_bar:   692.30 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13486061        | Original Mean y_bar:   430.80 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13526603        | Original Mean y_bar:   829.05 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13528657        | Original Mean y_bar:   861.55 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13540531        | Original Mean y_bar:   611.65 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13555021        | Original Mean y_bar:   778.30 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13588997        | Original Mean y_bar:   925.00 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13589071        | Original Mean y_bar:   790.50 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13595321        | Original Mean y_bar:   549.90 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13597069        | Original Mean y_bar:   691.90 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13639007        | Original Mean y_bar:   730.75 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13649851        | Original Mean y_bar:   254.65 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13664759        | Original Mean y_bar:   383.15 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13676291        | Original Mean y_bar:   524.50 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13724839        | Original Mean y_bar:   401.15 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13730383        | Original Mean y_bar:   550.45 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13757867        | Original Mean y_bar:   470.05 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13807769        | Original Mean y_bar:   895.45 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13840081        | Original Mean y_bar:  1113.60 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13859491        | Original Mean y_bar:   489.80 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13860227        | Original Mean y_bar:   743.30 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13883761        | Original Mean y_bar:  1095.35 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13894081        | Original Mean y_bar:   569.55 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13906531        | Original Mean y_bar:   340.60 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13923407        | Original Mean y_bar:   742.85 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13923457        | Original Mean y_bar:   335.10 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13939831        | Original Mean y_bar:   312.65 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13973027        | Original Mean y_bar:   558.20 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 13979327        | Original Mean y_bar:   487.30 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 14012069        | Original Mean y_bar:   374.45 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
