=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_12_digits.csv
Test Dimension (k): 2861 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000007
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 4293.334346
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 9.43 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 148762907263    | Original Mean y_bar: 108806.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 148858134781    | Original Mean y_bar: 45250.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 149278229167    | Original Mean y_bar: 55717.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 149475383209    | Original Mean y_bar: 211734.80 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 149582601989    | Original Mean y_bar: 92003.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 149795022463    | Original Mean y_bar: 20728.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 150769133369    | Original Mean y_bar: 82432.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 150943093247    | Original Mean y_bar: 27773.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 151011473783    | Original Mean y_bar: 51787.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 151081160689    | Original Mean y_bar: 43076.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 151996310749    | Original Mean y_bar: 61997.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 152136740053    | Original Mean y_bar: 105459.80 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 152261587217    | Original Mean y_bar: 55736.80 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 153962083139    | Original Mean y_bar: 31945.80 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 154102621327    | Original Mean y_bar: 65018.80 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 154327220897    | Original Mean y_bar: 146904.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 154369355977    | Original Mean y_bar: 88951.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 154395796403    | Original Mean y_bar: 81334.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 154559788517    | Original Mean y_bar: 109570.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 154942365173    | Original Mean y_bar: 75538.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 155635065083    | Original Mean y_bar: 36024.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 155664655847    | Original Mean y_bar: 50301.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 155819468333    | Original Mean y_bar: 57233.80 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 155864580517    | Original Mean y_bar: 102183.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 156006915139    | Original Mean y_bar: 85691.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 156185984579    | Original Mean y_bar: 35222.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 156227553761    | Original Mean y_bar: 81218.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 156361107761    | Original Mean y_bar: 104200.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 156544049491    | Original Mean y_bar: 35007.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 156740927179    | Original Mean y_bar: 118898.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 156877001599    | Original Mean y_bar: 66876.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 156912458179    | Original Mean y_bar: 32583.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 157062100093    | Original Mean y_bar: 57828.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 157207226857    | Original Mean y_bar: 79767.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 157371083279    | Original Mean y_bar: 58099.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 157606311547    | Original Mean y_bar: 158848.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 157675647203    | Original Mean y_bar: 97530.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 157921399463    | Original Mean y_bar: 37551.80 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 157947021649    | Original Mean y_bar: 116957.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 157955291387    | Original Mean y_bar: 86724.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
