=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_10_digits.csv
Test Dimension (k): 3484 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000061
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 10764.210731
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 12.04 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 1474852163      | Original Mean y_bar:  9876.65 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1476340193      | Original Mean y_bar:  7389.95 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1479512791      | Original Mean y_bar:  8473.60 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1480055827      | Original Mean y_bar:  8882.50 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1481712073      | Original Mean y_bar: 10052.50 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1488272197      | Original Mean y_bar: 20671.55 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1489266689      | Original Mean y_bar:  9488.10 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1489565747      | Original Mean y_bar:  8500.45 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1492098121      | Original Mean y_bar:  7173.45 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1502115311      | Original Mean y_bar:  7806.55 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1508908187      | Original Mean y_bar:  7764.15 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1515520973      | Original Mean y_bar:  6578.05 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1517481857      | Original Mean y_bar:  8116.35 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
