=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_13_digits.csv
Test Dimension (k): 1507 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000002
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 4367.326117
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 5.99 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 1677108330127   | Original Mean y_bar: 269263.60 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1677307625033   | Original Mean y_bar: 587085.10 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1681458422261   | Original Mean y_bar: 424014.25 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1686222990703   | Original Mean y_bar: 185483.55 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1687274890393   | Original Mean y_bar: 229095.10 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1706295815981   | Original Mean y_bar: 480359.50 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1706710939249   | Original Mean y_bar: 171002.90 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1708491540683   | Original Mean y_bar: 558975.50 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1708753069981   | Original Mean y_bar: 325722.05 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1717423973807   | Original Mean y_bar: 290229.40 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1717871162419   | Original Mean y_bar: 380973.45 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1723792594211   | Original Mean y_bar: 479715.90 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1731331459499   | Original Mean y_bar: 214934.85 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1731340641553   | Original Mean y_bar: 555497.15 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
Prime: 1736227092989   | Original Mean y_bar: 432006.15 | Fitted Prob p_tilde: 0.000003 | Sample Size n: 20
